City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Nizwa,OM,22.9333,57.5333,68.07,29,0,2.93,clear sky
81,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,0,12.66,clear sky
82,Namibe,AO,-15.1961,12.1522,76.6,68,99,10.16,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,17.6,49,75,1.14,broken clouds
84,Sakaiminato,JP,35.55,133.2333,35.6,87,0,3.44,clear sky
85,Bandarbeyla,SO,9.4942,50.8122,75.0,66,0,16.24,clear sky
86,Touros,BR,-5.1989,-35.4608,87.8,58,40,16.11,scattered clouds
87,Gorele,TR,41.0308,39.0031,51.8,71,75,11.5,broken clouds
88,Kapaa,US,22.0752,-159.319,71.6,83,20,16.11,few clouds
89,Lata,PT,40.1629,-8.3327,61.0,94,100,3.0,overcast clouds
90,Saskylakh,RU,71.9167,114.0833,-31.02,84,89,8.05,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,82.4,69,75,9.22,broken clouds
92,Grootfontein,NA,-19.5667,18.1167,77.45,63,95,6.82,moderate rain
93,San Blas,MX,21.5167,-105.2667,46.4,100,1,3.27,clear sky
94,Isangel,VU,-19.55,169.2667,75.2,100,75,14.23,broken clouds
95,Teya,RU,60.3778,92.6267,-26.63,81,79,1.7,broken clouds
96,Te Anau,NZ,-45.4167,167.7167,51.49,85,94,2.33,moderate rain
97,Haines Junction,CA,60.7522,-137.5108,-16.6,76,88,1.14,overcast clouds
98,Pitea,SE,65.3172,21.4794,14.0,92,75,6.91,light snow
99,Soyo,AO,-6.1349,12.3689,87.8,70,40,5.75,scattered clouds
100,Kamloops,CA,50.6665,-120.3192,35.6,80,75,10.36,broken clouds
101,Bathsheba,BB,13.2167,-59.5167,84.2,58,40,24.16,scattered clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,1.34,broken clouds
103,Klaksvik,FO,62.2266,-6.589,30.2,69,75,9.22,broken clouds
104,Bilibino,RU,68.0546,166.4372,-15.61,84,100,6.29,overcast clouds
105,Hasaki,JP,35.7333,140.8333,36.0,51,75,8.05,broken clouds
106,Husavik,IS,66.0449,-17.3389,5.0,85,0,4.61,clear sky
107,Panama City,PA,8.9936,-79.5197,86.0,65,20,11.5,few clouds
108,Troitskoye,RU,52.9821,84.6757,7.45,91,79,9.84,broken clouds
109,Valparaiso,CL,-33.0393,-71.6273,68.0,100,75,4.61,broken clouds
110,Okha,RU,53.5739,142.9478,-10.44,81,100,23.82,overcast clouds
111,Bredasdorp,ZA,-34.5322,20.0403,75.99,68,6,8.99,clear sky
112,Fort Nelson,CA,58.8053,-122.7002,-20.2,76,75,3.44,broken clouds
113,Derzhavinsk,KZ,51.1,66.3167,16.74,94,100,7.11,overcast clouds
114,Pimenta Bueno,BR,-11.6725,-61.1936,87.91,61,49,4.83,scattered clouds
115,Guerrero Negro,MX,27.9769,-114.0611,60.26,47,89,2.59,overcast clouds
116,Balaipungut,ID,1.05,101.2833,80.6,78,40,2.73,scattered clouds
117,Souillac,MU,-20.5167,57.5167,82.4,69,75,9.22,broken clouds
118,Pilar,BR,-9.5972,-35.9567,87.8,58,75,6.91,broken clouds
119,Nanortalik,GL,60.1432,-45.2371,33.15,87,100,7.29,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,-11.0,77,75,4.61,broken clouds
121,Kiama,AU,-34.6833,150.8667,66.99,95,100,4.23,overcast clouds
122,Belyy Yar,RU,53.6039,91.3903,-16.6,69,58,0.72,broken clouds
123,Saint Anthony,US,45.0205,-93.218,30.2,93,90,5.75,light snow
124,Bereda,ES,43.2686,-7.5406,57.99,80,82,20.0,broken clouds
125,Fairbanks,US,64.8378,-147.7164,-5.8,84,90,0.25,light snow
126,Smithers,CA,54.7804,-127.1743,19.4,93,90,2.3,light snow
127,Lompoc,US,34.6391,-120.4579,50.0,93,1,5.75,clear sky
128,Yulara,AU,-25.2406,130.9889,91.4,25,90,9.22,overcast clouds
129,Rincon,US,32.296,-81.2354,66.99,59,75,17.27,broken clouds
130,Amarante Do Maranhao,BR,-5.5667,-46.7422,88.07,56,62,7.54,broken clouds
131,Jawhar,SO,2.7809,45.5005,75.22,69,0,19.51,clear sky
132,Mokhotlong,LS,-29.2894,29.0675,65.3,65,77,6.89,moderate rain
133,Mecca,SA,21.4267,39.8261,77.49,41,0,8.12,clear sky
134,Ilulissat,GL,69.2167,-51.1,8.6,61,90,19.57,light snow
135,Barrow,US,71.2906,-156.7887,-16.6,69,90,9.22,overcast clouds
136,Hofn,IS,64.2539,-15.2082,26.6,46,0,9.22,clear sky
137,Hithadhoo,MV,-0.6,73.0833,83.14,76,100,13.35,overcast clouds
138,Miramar,US,25.9873,-80.2323,77.0,53,40,14.97,scattered clouds
139,Dombarovskiy,RU,50.7587,59.5386,11.95,95,33,6.13,scattered clouds
140,Praia,CV,14.9215,-23.5087,84.2,42,0,17.27,clear sky
141,Raudeberg,NO,61.9875,5.1352,30.99,92,100,8.08,light snow
142,Kharhial,IN,20.2833,82.7667,62.13,29,91,2.86,overcast clouds
143,Natal,BR,-5.795,-35.2094,87.8,62,75,20.71,broken clouds
144,Badou,TG,7.5833,0.6,94.69,25,53,4.83,broken clouds
145,Cape Town,ZA,-33.9258,18.4232,77.0,78,75,16.11,light rain
146,Sorkjosen,NO,69.8,20.9333,21.24,91,100,3.91,overcast clouds
147,Tabou,CI,4.423,-7.3528,81.82,81,63,7.87,moderate rain
148,Baruun-Urt,MN,46.6806,113.2792,-10.84,88,99,6.13,overcast clouds
149,Kolyvan,RU,55.3053,82.7391,-9.4,77,0,4.47,clear sky
150,Palu,ID,-0.8917,119.8707,76.05,81,100,1.19,overcast clouds
151,Poum,NC,-20.2333,164.0167,79.02,74,98,15.35,overcast clouds
152,Padang,ID,-0.9492,100.3543,77.99,76,94,4.76,overcast clouds
153,Kolvereid,NO,64.8655,11.6047,15.8,92,75,14.97,broken clouds
154,Saldanha,ZA,-33.0117,17.9442,69.4,77,41,9.69,scattered clouds
155,Hamilton,US,39.1834,-84.5333,37.0,100,90,8.05,mist
156,Monrovia,LR,6.3005,-10.7969,87.8,66,75,11.5,broken clouds
157,Mount Gambier,AU,-37.8333,140.7667,51.8,93,30,4.61,scattered clouds
158,Ugento,IT,39.9263,18.1574,57.2,82,20,8.05,few clouds
159,Grand-Santi,GF,4.25,-54.3833,88.21,53,35,6.17,scattered clouds
160,Shimoda,JP,34.6667,138.95,36.0,71,73,9.82,broken clouds
161,Rotifunk,SL,8.2333,-12.6833,92.25,37,39,8.25,scattered clouds
162,San Juan,AR,-31.5375,-68.5364,67.55,58,94,17.43,overcast clouds
163,Bambous Virieux,MU,-20.3428,57.7575,82.4,69,75,9.22,broken clouds
164,Najran,SA,17.4924,44.1277,69.8,28,0,6.91,clear sky
165,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.81,70,82,6.55,broken clouds
166,Khatanga,RU,71.9667,102.5,-45.13,78,51,4.25,broken clouds
167,Avarua,CK,-21.2078,-159.775,73.4,100,96,1.14,overcast clouds
