,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Grand Baie,MU,-20.0182,57.5802,77.0,84,2,3.0,clear sky
349,Luzhou,CN,28.8724,105.4405,51.75,73,100,1.54,overcast clouds
350,Senneterre,CA,48.3835,-77.2328,-9.4,84,40,2.3,scattered clouds
351,Ta Khmau,KH,11.4833,104.95,78.8,61,20,10.36,few clouds
352,Muncar,ID,-8.4333,114.3333,84.61,68,53,0.76,broken clouds
353,Pallapatti,IN,11.6593,78.1342,73.4,78,40,3.58,mist
354,Vanderhoof,CA,54.0166,-124.0198,16.83,96,99,1.59,overcast clouds
355,Boddam,GB,57.4667,-1.7833,32.0,86,90,3.44,overcast clouds
356,Alekseyevsk,RU,57.8406,108.3492,-36.17,79,100,2.26,overcast clouds
357,Qaqortoq,GL,60.7167,-46.0333,39.2,30,75,28.77,broken clouds
358,Alta Floresta,BR,-9.8756,-56.0861,71.83,96,92,1.9,light rain
359,Kortkeros,RU,61.8106,51.5806,26.6,93,75,11.18,light snow
360,Komsomolskiy,UZ,40.4272,71.7189,32.0,51,100,11.5,overcast clouds
361,Honiara,SB,-9.4333,159.95,82.44,81,100,8.88,heavy intensity rain
362,Panaba,MX,21.2833,-88.2667,68.88,82,100,8.5,overcast clouds
363,Mikuni,JP,36.2171,136.1519,42.8,75,40,8.05,scattered clouds
364,Port Blair,IN,11.6667,92.75,81.86,71,28,9.66,scattered clouds
365,Dunedin,NZ,-45.8742,170.5036,59.0,78,100,25.99,overcast clouds
366,Sabla,NG,12.7525,4.7077,66.16,23,29,11.12,scattered clouds
367,Methala,IN,10.2166,76.2166,75.2,94,20,2.77,mist
368,Labuan,MY,5.2767,115.2417,84.2,74,20,3.44,few clouds
369,Olafsvik,IS,64.8945,-23.7142,23.05,89,23,16.51,few clouds
370,Karagaylinskiy,RU,54.172,86.5521,-14.04,88,59,2.19,broken clouds
371,Lazaro Cardenas,MX,17.9583,-102.2,75.97,81,7,1.28,clear sky
372,Broken Hill,AU,-31.95,141.4333,84.2,28,62,14.97,broken clouds
373,Mgandu,TZ,-5.95,34.1333,57.83,96,8,3.69,clear sky
374,Rocha,UY,-34.4833,-54.3333,65.5,89,100,19.24,overcast clouds
375,Turukhansk,RU,65.8167,87.9833,-31.94,76,16,5.66,few clouds
376,Port Hardy,CA,50.6996,-127.4199,44.6,81,90,10.36,light rain
377,Shakiso,ET,5.75,38.9167,49.98,47,69,4.18,broken clouds
378,Biltine,TD,14.5333,20.9167,67.17,23,16,13.69,few clouds
379,Palm Coast,US,29.585,-81.2078,59.0,93,1,3.44,clear sky
380,Hamilton,US,39.1834,-84.5333,33.01,93,90,9.22,snow
381,Sinnamary,GF,5.3833,-52.95,77.99,85,100,14.47,overcast clouds
382,Camocim,BR,-2.9022,-40.8411,78.78,82,100,12.19,overcast clouds
383,Vanavara,RU,60.34,102.2797,-37.03,80,27,2.93,scattered clouds
384,Carnarvon,AU,-24.8667,113.6333,91.4,58,2,4.61,clear sky
385,Suntar,RU,62.1444,117.6319,-32.85,81,100,2.3,overcast clouds
386,Nishihara,JP,26.1842,127.7558,68.0,34,20,14.97,few clouds
387,Igarka,RU,67.4667,86.5833,-33.83,78,11,9.53,few clouds
388,Neuquen,AR,-38.9516,-68.0591,64.4,63,40,6.91,scattered clouds
389,Miranda,CO,3.2499,-76.2281,77.0,65,0,8.05,clear sky
390,Kralendijk,BQ,12.15,-68.2667,78.8,78,40,13.8,scattered clouds
391,Husavik,IS,66.0449,-17.3389,14.0,79,90,4.61,overcast clouds
392,Teya,RU,60.3778,92.6267,-33.65,78,0,0.98,clear sky
393,Marsh Harbour,BS,26.5412,-77.0636,67.03,61,100,13.65,overcast clouds
394,Hay River,CA,60.8156,-115.7999,-14.8,76,36,2.3,scattered clouds
395,Plouzane,FR,48.3833,-4.6167,48.2,100,90,8.05,overcast clouds
396,Raudeberg,NO,61.9875,5.1352,32.0,100,75,5.75,snow
397,Padang,ID,-0.9492,100.3543,82.78,66,69,3.56,broken clouds
398,Gogrial,SS,8.5332,28.1004,67.06,24,0,5.17,clear sky
399,Ulaangom,MN,49.9811,92.0667,-3.42,86,0,1.16,clear sky
400,Norsup,VU,-16.0667,167.3833,84.36,64,94,11.41,overcast clouds
401,Santarem,BR,-2.4431,-54.7083,78.8,89,0,2.3,clear sky
402,Smoky Lake,CA,54.1169,-112.4686,3.2,85,50,5.75,scattered clouds
403,Dukat,RU,62.55,155.55,-33.36,82,100,8.86,light snow
404,Shelburne,CA,44.0787,-80.2041,10.99,83,94,5.21,overcast clouds
405,Siteki,SZ,-26.45,31.95,66.49,100,51,3.29,broken clouds
406,Pringsewu,ID,-5.3582,104.9744,80.8,79,77,4.29,broken clouds
407,Liverpool,GB,53.4106,-2.9779,33.01,86,100,9.22,overcast clouds
408,Avera,US,33.194,-82.5271,46.4,66,40,5.75,scattered clouds
409,Denpasar,ID,-8.65,115.2167,82.4,83,40,13.8,scattered clouds
410,Amahai,ID,-3.3333,128.9167,86.49,62,86,4.59,overcast clouds
411,Kot Kapura,IN,30.5833,74.9,49.82,46,0,1.14,clear sky
412,Lasa,IT,46.6166,10.7002,36.0,100,90,3.44,light snow
413,Brae,GB,60.3964,-1.353,33.8,93,90,2.3,overcast clouds
414,Kahului,US,20.8947,-156.47,78.8,57,40,17.27,scattered clouds
415,Bollnas,SE,61.3482,16.3946,10.0,83,22,4.0,few clouds
416,Labuhan,ID,-6.8844,112.2051,83.39,76,84,8.37,broken clouds
417,Lanzhou,CN,36.0564,103.7922,30.0,49,36,2.91,scattered clouds
418,Nefteyugansk,RU,61.0998,72.6035,-7.6,77,75,13.42,light snow
419,Krasnovishersk,RU,60.4078,57.082,18.1,96,100,7.0,overcast clouds
420,Rawlins,US,41.7911,-107.2387,24.8,63,1,13.8,clear sky
421,Caruray,PH,10.3094,119.0128,86.0,62,20,20.71,few clouds
422,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,62,0,4.61,clear sky
423,Kichera,RU,55.9375,110.0997,-12.46,75,59,2.8,broken clouds
424,Deputatskiy,RU,69.3,139.9,-24.59,89,100,1.99,overcast clouds
425,Luena,AO,-11.7833,19.9167,62.8,95,99,4.18,overcast clouds
426,Ust-Nera,RU,64.5667,143.2,-25.29,75,91,8.28,overcast clouds
427,Dangriga,BZ,16.9692,-88.2321,77.0,78,20,3.44,few clouds
428,Nuevitas,CU,21.5453,-77.2644,64.4,82,20,6.91,few clouds
429,Sorata,BO,-15.7667,-68.6333,45.18,83,100,2.75,overcast clouds
430,Ihosy,MG,-22.4,46.1167,69.31,89,78,4.7,broken clouds
431,Panjab,AF,34.388,67.0233,20.35,92,100,4.52,light snow
432,Mombetsu,JP,44.3525,143.3525,23.0,80,75,2.3,light snow
433,Nexo,DK,55.0607,15.1306,35.6,80,90,14.97,overcast clouds
434,Rorvik,NO,64.8621,11.2373,29.16,96,24,12.35,light snow
435,Takaka,NZ,-40.85,172.8,64.0,76,15,5.01,few clouds
436,Kuznechnoye,RU,61.12,29.8686,25.0,98,99,3.33,snow
437,Mecca,SA,21.4267,39.8261,65.44,42,0,5.08,clear sky
438,Inyonga,TZ,-6.7167,32.0667,62.56,96,90,2.15,overcast clouds
439,General Roca,AR,-39.0333,-67.5833,64.4,63,40,6.91,scattered clouds
440,Vlagtwedde,NL,53.0275,7.1083,25.0,94,6,1.01,clear sky
441,Fukue,JP,32.6881,128.8419,55.4,58,40,4.61,scattered clouds
442,Dutse,NG,11.7594,9.3392,61.25,31,0,5.66,clear sky
443,Kamariotissa,GR,40.4833,25.4667,41.0,100,0,13.29,clear sky
444,Kampot,KH,10.6167,104.1833,78.8,69,40,4.61,scattered clouds
445,Chachapoyas,PE,-6.2317,-77.869,54.41,89,93,2.21,overcast clouds
446,Weiser,US,44.251,-116.9693,42.8,61,1,4.61,clear sky
447,Kokopo,PG,-4.352,152.2633,82.51,71,100,11.83,overcast clouds
448,Cockburn Town,TC,21.4612,-71.1419,73.24,70,0,21.56,clear sky
449,Diamantino,BR,-14.4086,-56.4461,73.09,87,97,4.12,overcast clouds
450,Daru,PG,-9.0763,143.2092,85.03,66,100,12.33,overcast clouds
451,Sept-Iles,CA,50.2001,-66.3821,19.4,68,77,10.36,broken clouds
452,Kaitong,CN,44.8135,123.15,3.42,90,100,5.77,snow
453,Mayo,US,38.8876,-76.5119,30.99,64,1,3.13,clear sky
454,Hofn,IS,64.2539,-15.2082,24.06,83,0,14.5,clear sky
455,Techiman,GH,7.5862,-1.9414,74.68,69,88,2.75,overcast clouds
456,Baruun-Urt,MN,46.6806,113.2792,7.9,95,100,4.47,light snow
457,Bongandanga,CD,1.5,21.05,69.31,96,19,2.33,few clouds
458,Namibe,AO,-15.1961,12.1522,72.79,75,97,5.08,overcast clouds
459,Alihe,CN,50.5667,123.7167,-10.93,82,100,0.22,overcast clouds
460,Kutum,SD,14.2,24.6667,50.86,40,0,4.65,clear sky
461,Gat,IL,31.61,34.7642,55.0,58,0,1.01,clear sky
462,Ponta Delgada,PT,37.7333,-25.6667,63.0,88,75,14.97,broken clouds
463,San Juan,AR,-31.5375,-68.5364,73.71,40,56,8.55,broken clouds
464,Samarai,PG,-10.6167,150.6667,85.87,72,100,15.99,overcast clouds
465,Verkhniye Tatyshly,RU,56.2912,55.8575,20.37,98,100,9.53,overcast clouds
466,Coahuayana,MX,18.7333,-103.6833,73.17,89,0,1.32,clear sky
467,Port Hueneme,US,34.1478,-119.1951,55.4,82,1,10.36,clear sky
468,Aasiaat,GL,68.7098,-52.8699,-1.07,88,97,5.93,overcast clouds
469,Cabo San Lucas,MX,22.8909,-109.9124,66.2,82,20,3.44,few clouds
470,Henties Bay,NA,-22.116,14.2845,66.99,84,50,4.0,scattered clouds
471,Rockport,US,28.0206,-97.0544,69.8,94,1,10.36,mist
472,Pleasanton,US,37.6624,-121.8747,55.0,66,90,3.44,overcast clouds
473,Umm Lajj,SA,25.0213,37.2685,63.66,51,0,10.31,clear sky
474,Rosarito,MX,32.3333,-117.0333,54.0,76,40,6.91,scattered clouds
475,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,20,6.91,few clouds
476,Hami,CN,42.8,93.45,26.47,80,0,6.51,clear sky
477,Guarapari,BR,-20.6667,-40.4975,78.8,78,40,6.91,scattered clouds
478,Grindavik,IS,63.8424,-22.4338,19.4,73,0,2.3,clear sky
479,Hegang,CN,47.4,130.3667,-4.76,81,0,3.44,clear sky
480,Ornskoldsvik,SE,63.2909,18.7153,12.2,92,90,8.05,light snow
481,Empangeni,ZA,-28.762,31.8933,71.94,98,100,1.52,light rain
482,Hudiksvall,SE,61.729,17.1036,6.76,92,93,6.24,overcast clouds
483,Miandoab,IR,36.9694,46.1027,28.58,92,18,9.19,few clouds
484,Port Macquarie,AU,-31.4333,152.9167,82.4,74,21,10.18,few clouds
485,Bykovo,RU,55.6361,38.0803,26.01,93,75,6.71,snow
486,Ulaanbaatar,MN,47.9077,106.8832,3.2,66,40,11.18,scattered clouds
487,Mansa,IN,29.9833,75.3833,51.19,45,0,0.72,clear sky
488,Adelanto,US,34.5828,-117.4092,50.0,61,0,1.01,clear sky
489,Paita,PE,-5.0892,-81.1144,76.26,71,43,14.7,scattered clouds
490,Cortez,US,37.3489,-108.5859,28.4,74,1,6.38,clear sky
491,Puerto Escondido,MX,15.85,-97.0667,76.53,63,3,3.04,clear sky
492,Carson City,US,39.1638,-119.7674,32.0,59,1,1.54,clear sky
493,Loding,NO,67.3,14.75,18.0,62,0,13.8,clear sky
494,Taoudenni,ML,22.6783,-3.9836,63.28,27,1,4.9,clear sky
495,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,88,75,14.97,broken clouds
496,Srednekolymsk,RU,67.45,153.6833,-33.29,84,100,5.32,overcast clouds
497,Bursa,TR,40.1667,29.0833,35.6,100,75,2.3,broken clouds
498,Magaria,NE,12.9983,8.9099,63.36,27,0,9.33,clear sky
499,Egvekinot,RU,66.3167,-179.1667,-19.86,85,100,11.7,overcast clouds
500,Buraydah,SA,26.326,43.975,42.8,81,0,7.2,clear sky
501,Boguchany,RU,58.3814,97.4531,-37.98,77,18,0.94,few clouds
502,Sainte-Rose,GP,16.3324,-61.6979,77.0,73,75,10.36,broken clouds
503,Burnie,AU,-41.0667,145.9167,62.73,77,82,8.88,broken clouds
504,Yenagoa,NG,4.9247,6.2642,77.32,89,0,2.8,clear sky
505,Pisco,PE,-13.7,-76.2167,69.8,73,0,14.97,clear sky
506,Kazanskaya,RU,45.4106,40.4361,36.03,84,100,4.83,moderate rain
507,Bosaso,SO,11.2842,49.1816,70.12,75,31,4.38,scattered clouds
508,Ecclefechan,GB,55.0593,-3.2665,34.0,100,75,4.61,broken clouds
509,Goderich,CA,43.7501,-81.7165,10.4,85,100,6.91,overcast clouds
510,Okmulgee,US,35.6234,-95.9605,53.6,76,75,10.36,broken clouds
511,Lysyye Gory,RU,51.5506,44.8414,27.5,97,91,11.83,overcast clouds
512,Jardim,BR,-21.4803,-56.1381,76.78,82,4,7.16,clear sky
513,Ukiah,US,39.1502,-123.2078,53.6,54,40,9.22,scattered clouds
514,Dunmore Town,BS,25.5,-76.65,69.35,63,100,15.48,overcast clouds
515,Mezen,RU,65.8522,44.24,14.56,97,100,6.26,overcast clouds
516,Uhlove,UA,44.8215,33.6045,46.99,80,100,1.99,overcast clouds
517,Kayankulam,IN,9.1833,76.5,78.33,74,71,5.19,broken clouds
518,Kavaratti,IN,10.5669,72.642,80.85,73,3,11.27,clear sky
519,Zajecar,RS,43.9036,22.2641,44.01,5,100,7.05,overcast clouds
520,Antalaha,MG,-14.9003,50.2788,75.56,87,0,4.47,clear sky
521,Osoyoos,CA,49.0331,-119.4524,35.6,93,100,4.61,overcast clouds
522,Brownsville,US,25.9018,-97.4975,72.0,83,40,14.97,scattered clouds
523,Hualahuises,MX,24.8847,-99.6733,68.27,59,0,3.24,clear sky
524,Sierra Vista,US,31.5545,-110.3037,45.0,45,1,4.09,clear sky
525,North Bend,US,43.4065,-124.2243,48.2,100,90,7.31,overcast clouds
526,Caravelas,BR,-17.7125,-39.2481,75.02,87,0,4.81,clear sky
527,Halol,IN,22.5,73.4667,57.2,67,0,5.75,haze
528,Santana,BR,-0.0583,-51.1817,80.6,89,75,4.61,broken clouds
529,Acapulco,MX,16.8634,-99.8901,80.6,83,20,2.3,few clouds
530,Orotukan,RU,62.2667,151.7,-28.8,81,100,6.04,overcast clouds
531,Flandes,CO,4.2941,-74.819,78.22,59,12,2.42,few clouds
532,Port Augusta,AU,-32.5,137.7667,71.6,60,100,16.11,overcast clouds
533,Hvide Sande,DK,56.0045,8.1294,30.99,83,0,20.69,clear sky
534,Zalantun,CN,48.0,122.7167,-7.74,85,100,2.84,overcast clouds
535,Willowmore,ZA,-33.2926,23.4895,60.01,79,0,1.97,clear sky
536,Kalianget,ID,-7.05,113.9333,83.71,76,69,12.3,broken clouds
537,Lerwick,GB,60.1545,-1.1494,33.8,93,90,2.3,overcast clouds
538,Hastings,GB,50.8552,0.5729,39.0,81,77,7.0,broken clouds
539,Shiraz,IR,29.6036,52.5388,37.89,73,0,1.9,clear sky
540,Huarmey,PE,-10.0681,-78.1522,71.2,77,67,6.51,broken clouds
541,Shingu,JP,33.7333,135.9833,51.8,50,40,10.36,scattered clouds
542,Masuguru,TZ,-11.3667,38.4167,71.13,96,98,1.86,overcast clouds
543,Norman Wells,CA,65.282,-126.8329,-27.4,75,75,2.3,broken clouds
544,Mackay,AU,-21.15,149.2,86.0,74,90,16.11,overcast clouds
545,Gaziantep,TR,37.0594,37.3825,41.0,93,90,8.05,light rain
546,Taihe,CN,30.8712,105.3845,54.32,57,100,4.9,overcast clouds
547,Dickinson,US,29.4608,-95.0513,69.8,83,90,11.5,overcast clouds
548,Matagami,CA,49.7502,-77.6328,-2.2,84,90,3.44,overcast clouds
549,Simao,CN,22.7886,100.9748,56.73,92,96,3.33,overcast clouds
550,Hit,IQ,33.6416,42.8251,49.3,59,96,8.9,overcast clouds
551,Gorom-Gorom,BF,14.4439,-0.2361,67.95,21,0,10.07,clear sky
552,Gamba,GA,-2.65,10.0,75.92,91,100,3.18,moderate rain
553,Birao,CF,10.2849,22.7882,68.61,22,9,9.78,clear sky
554,Omboue,GA,-1.5746,9.2618,74.75,88,100,3.11,overcast clouds
555,Kaka,TM,37.3482,59.6143,47.97,52,100,6.17,overcast clouds
556,Juneau,US,58.3019,-134.4197,32.0,80,75,5.23,broken clouds
557,Goundam,ML,16.4145,-3.6708,66.33,23,91,8.95,overcast clouds
558,Tezu,IN,27.9167,96.1667,68.09,26,24,1.54,few clouds
559,Ulladulla,AU,-35.35,150.4667,69.8,83,90,5.75,overcast clouds
560,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.98,81,8,20.54,clear sky
561,Moroni,KM,-11.7022,43.2551,79.95,73,80,6.13,broken clouds
562,Manzhouli,CN,49.6,117.4333,-13.0,87,100,5.88,overcast clouds
563,Camacha,PT,33.0833,-16.3333,57.2,88,0,3.44,clear sky
564,Pochutla,MX,15.7432,-96.4661,70.34,80,3,1.72,clear sky
565,Takoradi,GH,4.8845,-1.7554,78.66,90,76,8.05,broken clouds
566,Popondetta,PG,-8.7537,148.2534,81.95,89,100,0.74,moderate rain
567,Tuatapere,NZ,-46.1333,167.6833,66.47,49,100,2.84,light rain
568,Placido De Castro,BR,-10.3353,-67.1856,74.89,92,100,1.16,overcast clouds
569,Megion,RU,61.0296,76.1136,-18.4,69,75,15.66,snow
570,Le Port,RE,-20.9373,55.2919,78.8,69,0,13.8,clear sky
571,Whitefish,US,48.4111,-114.3376,35.6,69,90,4.61,overcast clouds
572,Yacuiba,BO,-22.038,-63.6797,73.35,88,100,4.38,overcast clouds
573,San Andres,CO,12.5847,-81.7006,80.6,74,20,16.11,few clouds
574,Porbandar,IN,21.6422,69.6093,53.6,66,0,6.91,smoke
575,Kumluca,TR,36.3703,30.2869,52.34,54,0,6.42,clear sky
576,Rebrikha,RU,53.0733,82.3408,0.75,94,100,7.76,overcast clouds
577,Inuvik,CA,68.3499,-133.7218,-27.4,75,100,1.14,overcast clouds
578,Miles City,US,46.4083,-105.8406,26.6,100,1,3.44,clear sky
579,High Level,CA,58.5169,-117.136,-5.8,92,40,3.49,scattered clouds
580,Beloha,MG,-25.1667,45.05,74.73,82,0,4.21,clear sky
581,Mathathane,BW,-22.2687,28.7495,75.06,78,96,10.42,light rain
582,Sao Raimundo Nonato,BR,-9.0153,-42.6994,68.79,91,87,2.17,light rain
583,Hualmay,PE,-11.0964,-77.6139,70.83,78,85,7.94,overcast clouds
584,Kazachka,RU,53.3644,38.0694,34.23,99,100,17.92,snow
585,Delta Del Tigre,UY,-34.7633,-56.3853,66.2,68,90,20.71,light rain
586,Flinders,AU,-34.5833,150.8552,69.01,95,98,1.01,overcast clouds
587,Port Maria,JM,18.3685,-76.8895,78.01,84,70,11.99,broken clouds
588,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.7,87,83,2.68,broken clouds
589,Tambilil,PH,5.9622,124.6697,84.2,58,75,12.66,broken clouds
590,Kitimat,CA,54.0524,-128.6534,27.0,81,98,5.14,overcast clouds
591,Tateyama,JP,34.9833,139.8667,52.0,54,20,8.05,few clouds
592,Mastic Beach,US,40.7668,-72.8521,23.0,57,1,11.81,clear sky
593,Saint-Louis,SN,16.3333,-15.0,72.73,18,100,9.89,overcast clouds
594,Faanui,PF,-16.4833,-151.75,82.09,68,68,7.29,broken clouds
595,Shizilu,CN,35.1711,118.8289,50.0,71,1,1.01,clear sky
596,Belaya Gora,RU,68.5333,146.4167,-29.25,85,100,2.33,overcast clouds
597,Brigantine,US,39.4101,-74.3646,28.99,63,1,3.44,clear sky
598,Katangli,RU,51.7102,143.2326,0.7,88,100,12.91,overcast clouds
599,Yate,GB,51.5407,-2.4184,35.01,87,73,1.99,broken clouds
600,Itanhaem,BR,-24.1831,-46.7889,75.99,73,0,3.44,clear sky
601,Sungaipenuh,ID,-2.0833,101.3833,70.05,81,100,0.83,overcast clouds
602,Yerbogachen,RU,61.2767,108.0108,-35.91,82,72,5.61,broken clouds
603,Gazojak,TM,41.1875,61.4036,40.12,64,84,9.66,broken clouds
604,Beirut,LB,33.8889,35.4944,59.0,63,75,27.63,broken clouds
605,Tharad,IN,24.3961,71.6267,59.36,30,0,5.61,clear sky
606,Sioux Lookout,CA,50.1001,-91.917,21.2,93,90,8.05,light snow
607,San Calixto,CO,8.4021,-73.2074,58.55,100,89,3.8,overcast clouds
608,Lincoln,US,40.8,-96.667,32.0,80,90,28.77,haze
609,Asau,RO,46.4333,26.4,37.0,86,90,17.27,light snow
610,Accra,GH,5.556,-0.1969,82.4,89,20,6.91,few clouds
611,Awjilah,LY,29.1081,21.2869,57.96,46,0,11.18,clear sky
612,Aioi,JP,34.8036,134.4681,48.2,49,40,9.22,scattered clouds
613,Buala,SB,-8.145,159.5921,85.86,69,85,15.68,overcast clouds
614,Rio Grande,BR,-32.035,-52.0986,68.0,98,99,9.78,moderate rain
615,Lubango,AO,-14.9172,13.4925,61.2,88,100,2.35,overcast clouds
616,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.56,92,100,3.04,overcast clouds
617,Jabinyanah,TN,35.035,10.9081,64.4,42,0,3.44,clear sky
618,Dosso,NE,13.049,3.1937,67.12,22,38,9.46,scattered clouds
619,Malinyi,TZ,-8.9333,36.1333,71.06,91,98,1.1,overcast clouds
620,Pandan,PH,14.0453,124.1694,76.35,80,100,18.39,overcast clouds
621,Rio Cuarto,AR,-33.1307,-64.3499,59.0,97,81,5.01,broken clouds
622,Itarema,BR,-2.9248,-39.9167,78.6,84,100,10.36,light rain
623,Dergachi,RU,51.2328,48.7659,18.12,95,18,10.33,few clouds
624,Boyolangu,ID,-8.1181,111.8935,85.28,65,68,0.76,broken clouds
625,Ercis,TR,39.0287,43.3586,28.4,69,75,1.14,light snow
626,Valleyview,CA,55.0667,-117.2859,15.8,73,0,3.44,clear sky
627,Kathmandu,NP,27.7167,85.3167,41.0,87,20,2.3,mist
628,Camabatela,AO,-8.1881,15.375,63.37,100,100,4.07,overcast clouds
629,Mount Gambier,AU,-37.8333,140.7667,71.6,46,40,6.91,scattered clouds
630,Dhidhdhoo,MV,6.8833,73.1,81.46,65,0,5.84,clear sky
631,Pacatuba,BR,-3.9842,-38.6203,81.0,83,20,10.36,few clouds
632,Turayf,SA,31.6725,38.6637,39.2,75,0,11.5,clear sky
633,Kizukuri,JP,40.8061,140.3861,28.0,79,75,17.27,snow
634,Atocha,BO,-20.9333,-66.2333,54.1,39,3,3.29,clear sky
635,Marawi,PH,7.9986,124.2928,80.01,82,70,8.01,broken clouds
636,Oranjemund,NA,-28.55,16.4333,59.59,92,2,7.81,clear sky
637,Talcahuano,CL,-36.7167,-73.1167,59.0,94,0,4.61,clear sky
638,Lufilufi,WS,-13.8745,-171.5986,84.2,79,75,20.71,light rain
639,Polesovice,CZ,49.0339,17.3406,30.0,81,100,7.18,overcast clouds
640,Suileng,CN,47.25,127.0833,-9.02,87,80,6.8,light snow
641,Dudinka,RU,69.4058,86.1778,-35.66,77,0,7.56,clear sky
642,Himare,AL,40.1017,19.7447,54.0,79,52,5.01,broken clouds
643,Monte Gordo,PT,37.1819,-7.4523,55.4,88,40,11.5,scattered clouds
644,Isla Vista,US,34.4133,-119.861,52.0,76,1,4.61,clear sky
645,Praia,CV,14.9215,-23.5087,73.4,53,0,17.27,clear sky
646,Fevik,NO,58.3794,8.6766,12.2,85,0,4.61,clear sky
647,Dubbo,AU,-32.25,148.6167,93.2,29,75,5.75,broken clouds
648,Sabzevar,IR,36.2126,57.6819,42.44,63,0,7.45,clear sky
649,Batagay-Alyta,RU,67.8006,130.4114,-33.41,80,89,2.24,overcast clouds
650,Chaozhou,CN,23.6651,116.6379,62.6,63,0,4.47,clear sky
651,Malakal,SS,9.5334,31.6605,70.83,25,31,7.07,scattered clouds
652,Calbuco,CL,-41.768,-73.1273,53.6,82,0,4.61,clear sky
653,Tucuman,AR,-26.8241,-65.2226,71.6,94,90,0.83,mist
654,Kizema,RU,61.113,44.8302,17.4,96,100,8.46,overcast clouds
655,Shache,CN,38.4167,77.2406,24.1,84,37,2.28,scattered clouds
656,Kaeo,NZ,-35.1,173.7833,75.0,54,0,8.99,clear sky
657,Perth,AU,-31.9333,115.8333,91.99,27,0,13.8,clear sky
658,Veseloyarsk,RU,51.2836,81.1056,7.29,94,100,7.67,overcast clouds
659,Nizhneangarsk,RU,55.7833,109.55,-14.64,76,52,1.36,broken clouds
660,Larsnes,NO,62.2028,5.5773,32.0,95,100,5.01,light snow
661,Abu Kamal,SY,34.4506,40.9171,50.45,51,100,16.17,overcast clouds
662,Kandrian,PG,-6.2167,149.55,86.04,67,99,19.71,overcast clouds
663,Aseri,EE,59.4506,26.8675,25.93,97,100,8.46,light snow
664,Smithers,CA,54.7804,-127.1743,19.4,86,90,2.3,light snow
665,Sigli,ID,5.3848,95.9609,81.25,69,30,9.75,scattered clouds
666,Araouane,ML,18.9048,-3.5265,64.36,23,26,9.98,scattered clouds
667,Van,TR,38.4924,43.3831,28.4,69,75,1.14,broken clouds
668,Cayenne,GF,4.9333,-52.3333,80.6,89,75,10.36,broken clouds
669,Maues,BR,-3.3836,-57.7186,74.86,92,8,1.36,clear sky
670,Peringat,MY,6.0333,102.2833,75.2,94,40,4.61,scattered clouds
671,Kovdor,RU,67.5662,30.4758,5.45,95,100,2.35,overcast clouds
672,Chunoyar,RU,57.4467,97.3217,-37.03,77,15,0.6,few clouds
673,Santa Rosa,PH,14.3122,121.1114,81.0,65,40,6.91,scattered clouds
674,Kamenka,RU,51.3223,42.7678,34.0,94,100,11.01,overcast clouds
675,Znamenskoye,RU,57.1281,73.8282,1.99,93,100,11.12,overcast clouds
676,Fuyu,CN,45.1833,124.8167,0.03,93,100,7.38,light snow
677,Dingle,PH,10.9995,122.6711,80.69,76,94,17.31,overcast clouds
678,Dagua,CO,3.6569,-76.6886,77.0,65,0,8.05,clear sky
679,Makakilo City,US,21.3469,-158.0858,82.4,47,40,5.75,scattered clouds
680,Morondava,MG,-20.2833,44.2833,78.08,86,4,7.96,clear sky
681,Songling,CN,31.1933,120.7176,55.99,74,88,4.94,overcast clouds
682,Yar-Sale,RU,66.8333,70.8333,-16.76,87,100,18.19,overcast clouds
