,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bethel,US,41.3712,-73.414,18.0,67,1,6.15,clear sky
81,Aklavik,CA,68.2191,-135.0107,-27.4,75,100,1.14,overcast clouds
82,Whitianga,NZ,-36.8333,175.7,68.47,50,9,8.01,clear sky
83,Jinchang,CN,38.4953,102.1739,26.31,63,0,1.28,clear sky
84,Tirumullaivasal,IN,11.2333,79.8333,76.06,82,48,9.22,scattered clouds
85,Byron Bay,AU,-28.65,153.6167,82.4,69,90,11.5,overcast clouds
86,Eirunepe,BR,-6.6603,-69.8736,74.07,91,93,1.01,heavy intensity rain
87,Judenburg,AT,47.1667,14.6667,33.01,98,100,1.28,light snow
88,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,0,3.44,clear sky
89,Salalah,OM,17.0151,54.0924,66.2,72,40,3.44,scattered clouds
90,Khatanga,RU,71.9667,102.5,-47.16,78,40,0.85,scattered clouds
91,Nikolskoye,RU,59.7035,30.7861,24.8,93,75,4.47,light snow
92,Katsuura,JP,35.1333,140.3,51.01,43,20,13.8,few clouds
93,Barrow,US,71.2906,-156.7887,-16.6,69,90,6.91,light snow
94,Margate,GB,51.3813,1.3862,39.99,66,7,4.0,clear sky
95,Mamallapuram,IN,12.6264,80.1722,73.4,94,20,6.6,mist
96,Sibolga,ID,1.7427,98.7792,81.91,62,50,2.51,scattered clouds
97,Hithadhoo,MV,-0.6,73.0833,81.68,79,14,14.0,few clouds
98,Tuy Hoa,VN,13.0833,109.3,71.78,88,100,7.2,overcast clouds
99,Kapaa,US,22.0752,-159.319,75.2,78,40,18.41,light rain
100,Ribeira Grande,PT,38.5167,-28.7,63.12,92,98,20.49,overcast clouds
101,Toila,EE,59.4236,27.5025,25.75,97,100,10.2,overcast clouds
102,Wote,KE,-1.7808,37.6288,59.68,83,100,1.79,overcast clouds
103,Coquimbo,CL,-29.9533,-71.3436,64.4,94,90,3.44,overcast clouds
104,Sao Filipe,CV,14.8961,-24.4956,74.35,60,100,9.86,overcast clouds
105,Fortuna,US,40.5982,-124.1573,53.01,87,75,21.85,moderate rain
106,Warmbad,NA,-28.45,18.7333,68.43,44,0,7.65,clear sky
107,Coolum Beach,AU,-26.5333,153.1,82.99,81,13,4.0,few clouds
108,Vila Velha,BR,-20.3297,-40.2925,78.8,78,40,6.91,scattered clouds
109,Fare,PF,-16.7,-151.0167,81.57,71,8,6.44,clear sky
110,West Plains,US,36.7281,-91.8524,53.01,87,90,9.22,overcast clouds
111,Upernavik,GL,72.7868,-56.1549,-9.69,85,68,6.22,broken clouds
112,Zlobin,HR,45.2924,14.6541,48.0,93,75,8.05,broken clouds
113,Luoyang,CN,34.6836,112.4536,53.01,99,100,6.44,overcast clouds
114,Borogontsy,RU,62.6683,131.1683,-41.31,79,95,3.18,overcast clouds
115,Sur,OM,22.5667,59.5289,64.96,52,0,1.97,clear sky
116,Sterling,US,39.0062,-77.4286,30.99,47,90,4.61,overcast clouds
117,Port Alfred,ZA,-33.5906,26.891,62.01,92,0,1.97,clear sky
118,Hilo,US,19.7297,-155.09,78.8,57,90,9.22,light rain
119,Hermanus,ZA,-34.4187,19.2345,61.0,89,0,9.06,clear sky
120,Nouadhibou,MR,20.931,-17.0347,66.2,63,0,17.27,clear sky
121,Ugoofaaru,MV,5.6667,73.0,82.09,68,97,8.93,overcast clouds
122,Jiaonan,CN,35.8786,119.9753,50.0,57,0,11.18,haze
123,Lata,PT,40.1629,-8.3327,55.99,89,100,1.01,overcast clouds
124,Bredasdorp,ZA,-34.5322,20.0403,61.0,89,0,6.58,clear sky
125,Palmer,US,42.1584,-72.3287,14.0,57,1,4.61,clear sky
126,Vardo,NO,70.3705,31.1107,25.65,95,100,19.86,light snow
127,Pevek,RU,69.7008,170.3133,-33.29,84,6,1.86,clear sky
128,Diffa,NE,13.3154,12.6113,64.85,28,3,11.21,clear sky
129,Sitka,US,57.0531,-135.33,39.2,60,40,11.5,scattered clouds
130,Chazuta,PE,-6.5742,-76.1367,78.8,78,20,3.44,few clouds
131,Sa Kaeo,TH,13.75,102.3333,77.74,51,18,10.45,few clouds
132,Lebu,CL,-37.6167,-73.65,55.94,87,1,12.88,clear sky
133,Mozarlandia,BR,-14.7447,-50.5706,74.48,84,100,0.2,overcast clouds
134,Macusani,PE,-14.0833,-70.4333,38.14,88,100,2.55,overcast clouds
135,Bengkulu,ID,-3.8004,102.2655,74.77,92,100,4.07,overcast clouds
136,Berdigestyakh,RU,62.0989,126.6992,-41.71,79,92,2.1,overcast clouds
137,Sakakah,SA,29.9697,40.2064,41.0,65,0,3.44,clear sky
138,Kemijarvi,FI,66.7131,27.4306,11.03,96,100,3.33,light snow
139,Natal,BR,-5.795,-35.2094,77.0,88,20,4.61,few clouds
140,Wairoa,NZ,-39.0333,177.3667,64.99,71,85,8.01,overcast clouds
141,Richards Bay,ZA,-28.783,32.0377,73.74,95,82,4.47,broken clouds
142,Wajima,JP,37.4,136.9,33.8,75,75,4.61,broken clouds
143,Ayan,RU,56.45,138.1667,-6.29,83,100,7.27,overcast clouds
144,Surt,LY,31.2089,16.5887,63.77,41,0,13.29,clear sky
145,Talnakh,RU,69.4865,88.3972,-31.25,71,0,7.23,clear sky
146,Opotiki,NZ,-38.0833,177.2833,73.99,59,24,4.0,few clouds
